Pressure [bar],Kp gain,Frequency [Hz],OBB front displacement [m],OBB rear displacement [m],Stand displacement [m],Stand arm displacement [m],OBB front phase [deg],OBB rear phase[deg],Stand phase [deg],Stand arm phase [deg],Piston amplitude [m],Tip amplitude [m],Tilt amplitude [m],Other modes amplitude [m]
-0.55,500,3,1.620890525998389e-06,1.6957013240759467e-06,2.418629914993779e-06,1.1665230672359797e-06,244.64003208747692,64.5791719700448,63.27933341085889,216.28416651629803,9.039538573896922e-07,1.0307179679406841e-08,1.1354752191948273e-07,1.9680615357634065e-08
-0.55,500,5,1.7265525950060796e-06,1.7978457979916024e-06,2.4238879507802333e-06,1.3566227819978152e-06,356.3952983294724,176.22269476564173,177.61787337451827,175.70752494838968,4.107159582709906e-07,5.601198176650963e-08,4.6236832848420136e-07,2.0777230539140324e-08
-0.55,500,7,1.8804615222927412e-06,1.9550399416201326e-06,2.507753677971822e-06,1.788273154749073e-06,109.98069792547284,289.82235404603756,290.44595970166034,292.2649503434827,2.2647819988755763e-07,1.2163992214365822e-07,7.438911352324376e-07,3.7676076477725435e-08
-0.55,500,10,1.4160105089364058e-06,1.4648152633409919e-06,1.8988976247895522e-06,1.3076107319027233e-06,260.4930657937698,80.33822564897129,80.63088684096735,81.35134182019922,4.072218548359404e-07,4.382671041438778e-08,2.4301912434441224e-06,3.0876126911210223e-08
-0.55,500,15,5.741296273614485e-06,5.864926887252458e-06,7.89514689120054e-06,2.9092171370273183e-06,95.58877291881997,275.48546176680514,275.71930541860695,279.2749004977493,1.9396718244479446e-06,8.873339933280338e-08,1.4355992261153349e-05,2.791775886041031e-07
-0.55,500,20,4.174262135143045e-06,4.22691179753669e-06,5.714324476293997e-06,4.1723593502714806e-07,50.13991324143354,230.0738730655266,230.5070593125581,26.28324679526171,1.703699397095028e-06,2.7478020587607435e-07,1.9947123872332707e-05,3.740210172461887e-07
-0.55,500,25,1.7825284957052803e-06,1.6800262087765683e-06,2.2958561459032907e-06,1.471127470376267e-06,280.9473095574983,101.58251421390348,102.21833207385608,278.1034131039027,6.931136610283168e-07,1.164065884712609e-07,4.6152698309872615e-06,8.114927682734503e-08
-0.55,500,30,6.950834042759483e-07,6.810375082508955e-07,9.244592821436199e-07,1.2211690557416279e-06,204.99424023343116,24.828690958477086,25.63867390198987,203.61529665269336,2.2953838816444654e-06,1.818966569295188e-07,2.7163356438402516e-06,7.710977286103472e-08
-0.55,400,3,1.6169342366943216e-06,1.6858078332944553e-06,2.2175935214341127e-06,1.0920862631924778e-06,242.37478162963822,61.90325784655598,51.105553675108986,199.88169695724136,4.7189161179424924e-07,2.2556116500273196e-09,1.5303637362613416e-07,1.7544265887276965e-08
-0.55,400,5,1.7201228940602409e-06,1.7915420911737515e-06,2.207320258500479e-06,1.2005392887515056e-06,23.71630217101041,203.52031736936456,201.86575745293462,197.10039877640517,9.218853686636482e-07,2.80872717907099e-08,6.128762719994246e-07,4.145104507675634e-09
-0.55,400,7,1.8719959997905352e-06,1.9473584475451474e-06,2.5884964051090223e-06,1.7985156576062032e-06,158.41294281076847,338.25015545311544,339.91945070922634,340.96365071091407,5.084638426716445e-07,2.015170567255511e-07,8.752796730955676e-07,2.8438442755188104e-08
-0.55,400,10,1.4151578417514142e-06,1.464672981296335e-06,1.9750105641919613e-06,1.2971144646178538e-06,271.54896273822595,91.40395469578539,91.24455814604231,92.93161756625909,6.864490170869851e-07,6.594179189230586e-08,3.0389774709777126e-06,5.337030545475612e-08
-0.55,400,15,5.7291617699927385e-06,5.855369667583756e-06,7.87910965845515e-06,2.8996506122985185e-06,71.89334707567868,251.79616746320147,251.9607636146151,256.02669161140193,2.269811327469798e-06,7.813947036707076e-08,1.4360543549465531e-05,2.668073190622718e-07
-0.55,400,20,4.181931033785003e-06,4.236344301349361e-06,5.723878910204247e-06,4.0984836048381375e-07,126.09525568666751,306.00428143254396,306.4559214398417,103.35250466234758,1.1270499109367845e-06,2.546080642385428e-07,1.670544021039126e-05,3.3404748780984015e-07
-0.55,400,25,1.7812810249525607e-06,1.678631041986647e-06,2.2889221398103015e-06,1.4696726222136476e-06,354.0084362714742,174.6289473294555,175.07550965997757,351.3305579429576,8.939284556979993e-07,1.3491915274844574e-07,4.563907591700446e-06,9.061661189058831e-08
-0.55,400,30,6.948906199323382e-07,6.807376604117628e-07,9.229364293293702e-07,1.219861628404828e-06,167.54020758584,347.3822255072136,348.22020469275105,166.1691528734116,2.8032182080219243e-06,1.4790701631100435e-07,2.4334079527989913e-06,8.895666121901431e-08
-0.55,300,3,1.6191260670024302e-06,1.6905438944217525e-06,2.7865437862042524e-06,7.372287364891588e-07,258.35315715585557,78.0516886124409,62.687418608325885,44.58169329076546,5.342545361024949e-07,1.067247672830282e-08,2.390139608297621e-07,1.543685587654354e-08
-0.55,300,5,1.7207437633130739e-06,1.7935136340354214e-06,2.3582430565591993e-06,1.4560991147505816e-06,349.1174367471892,168.98402673913736,167.788636940713,164.26093364142017,2.860910118927303e-07,3.0618365518720936e-08,9.543490346932432e-07,2.5013628289675992e-08
-0.55,300,7,1.8730475316402098e-06,1.9492281707329218e-06,2.548465865428775e-06,1.8403497389593834e-06,197.40424412101103,17.251217962671063,16.950857992140385,18.549452643227553,2.2255265974270496e-07,2.8992396370643164e-07,1.2772465218973076e-06,1.997739985779275e-08
-0.55,300,10,1.41553604118893e-06,1.4648439972201572e-06,1.9759282185614343e-06,1.289586451610946e-06,321.96404743280397,141.82304287098137,141.6161255279353,143.6392811512646,5.39027264058649e-07,1.0553448142591087e-07,3.7330311385932028e-06,7.976252793685954e-08
-0.55,300,15,5.7116500957945125e-06,5.838561951792375e-06,7.848512019199163e-06,2.905084100753859e-06,50.30301368132607,230.20136507758903,230.43772111434876,234.42557558400674,2.1028244759506115e-06,1.609450617917334e-07,1.3557844150396566e-05,2.3679933253895236e-07
-0.55,300,20,4.189604023176613e-06,4.240313615879588e-06,5.731555652167366e-06,4.0424473583055535e-07,45.65589658024883,225.52473389214188,225.96782089629392,24.904153487268992,1.0798943617013854e-06,3.127624103729037e-07,1.508133203749003e-05,2.815315162372108e-07
-0.55,300,25,1.7809705557568792e-06,1.6784757508363214e-06,2.28939525102869e-06,1.4683019942378613e-06,33.02083228626507,213.62152169342352,214.24778348348323,30.46145330794716,1.1800061898850777e-06,1.4260518191657638e-07,4.038927220712691e-06,9.232357586724262e-08
-0.55,300,30,6.945906534681132e-07,6.803797299672459e-07,9.227844951625768e-07,1.2226525721605223e-06,87.63287953106969,267.4719358741562,268.4196906136586,86.23535444842608,1.8261853215499548e-06,1.493915932114572e-07,2.0080747809832107e-06,4.8811377518530254e-08
-0.55,200,3,1.6185493816297507e-06,1.6871440588638013e-06,2.4860775017884384e-06,1.115546653008492e-06,279.0324062169341,98.68186744843781,117.589062189936,273.6184253422972,1.5628033232081823e-06,2.356253018309822e-08,4.930896418649375e-07,1.6743543796554797e-08
-0.55,200,5,1.7185420797895353e-06,1.7928126343640292e-06,2.4993727324875635e-06,1.2736350309944717e-06,27.133519889888117,206.93949501094812,204.72464524986017,204.881971151286,4.807442046073798e-07,6.787513603457385e-08,1.6053138951498308e-06,3.625024252743787e-08
-0.55,200,7,1.8716181018867208e-06,1.9474744550678403e-06,2.5575562308246443e-06,1.7757422148414953e-06,151.41457507125634,331.2789639947859,330.5032859893608,333.65441972956353,3.929449148465108e-07,2.702992113930437e-07,1.7297329344154427e-06,2.5743315238481063e-08
-0.55,200,10,1.4129203313802894e-06,1.4627257205393716e-06,1.95541692690463e-06,1.2902368810423004e-06,283.51428312509984,103.37945465925516,103.18853581645644,104.95205897241611,5.124222344487257e-07,9.852229701331538e-08,3.6840202137008183e-06,7.276314872459868e-08
-0.55,200,15,5.699260886321503e-06,5.825841813480345e-06,7.852235184520075e-06,2.884697583389087e-06,114.58326680414821,294.46398495164874,294.7130516594241,298.0640406243966,1.6600467727785574e-06,1.0558650102393749e-07,1.1060839507388669e-05,2.2652730059303588e-07
-0.55,200,20,4.191283633416144e-06,4.243837319584033e-06,5.738154596113964e-06,4.084856214952409e-07,123.03494410859504,302.9160981826339,303.3447824938172,102.26457668892647,9.052259637417364e-07,2.855320721897462e-07,1.3116815110502714e-05,2.6012213958047073e-07
-0.55,200,25,1.7809419696448704e-06,1.6783029628134924e-06,2.2914427520161367e-06,1.4717031440664269e-06,31.45978324834116,212.05870636240033,212.56720297213337,28.915992164949067,7.38641394532796e-07,1.1857774328873423e-07,3.386456873498247e-06,8.007899749804788e-08
-0.55,200,30,6.944196869012363e-07,6.801363219189727e-07,9.210172001050728e-07,1.2229426815459656e-06,130.3150923736809,310.1673372716869,311.0304478841054,128.97455703697452,1.951513906084834e-06,1.4534131701603295e-07,2.0367775710710468e-06,6.295273476510905e-08
-0.4,500,3,1.6062714192381346e-06,1.6730113591813213e-06,2.748778846488925e-06,9.838757812833803e-07,273.41167722842204,93.40686425695787,100.77533913662496,296.15040362617157,7.062795782149203e-07,2.6017955863873994e-08,1.0302938618879008e-07,1.1669556406221671e-08
-0.4,500,5,1.7028064039023527e-06,1.7757724840941119e-06,2.3330491465967247e-06,1.3761920828388042e-06,22.828403920884412,202.5554902968834,203.55953557227457,198.76752810162046,3.8125558426646903e-07,3.952224550932574e-08,4.6187751840257904e-07,1.4785544209706572e-08
-0.4,500,7,1.856506202907259e-06,1.9293950082857608e-06,2.52986405312826e-06,1.7216140682641226e-06,212.97466941940252,32.8016981548782,32.665364883979564,34.12725769912435,1.46806119408723e-07,1.0041421154512351e-07,7.291736732710039e-07,1.0492915373692443e-08
-0.4,500,10,1.4000125660947578e-06,1.4475845029122583e-06,1.96602745456387e-06,1.286891337311435e-06,344.46152354682783,164.31441592119523,164.03462977143658,165.9625246737742,7.595451862132493e-07,5.083436935238479e-07,2.1106557451749054e-06,4.1651900962081365e-08
-0.4,500,15,5.637923414661219e-06,5.761212573226534e-06,7.752956681646452e-06,2.882419313567624e-06,88.82835775236262,268.72706408682643,269.05715949494873,272.57633433565434,2.0961272055072686e-06,7.436293135252666e-08,1.4049556745144247e-05,2.8063436448559054e-07
-0.4,500,20,4.2443873094961995e-06,4.2968426863726955e-06,5.811712600112649e-06,4.026900148756649e-07,225.34994058646757,45.307273157806854,45.77237340913157,202.01597161050418,1.520011433443199e-06,2.7959893178332445e-07,1.7913126276368725e-05,3.576895513605656e-07
-0.4,500,25,1.7871231708184386e-06,1.687690065769876e-06,2.308524106522989e-06,1.4736481031228342e-06,285.498722427566,106.12570038478364,106.71913217536274,282.82254550140664,6.985290146558148e-07,1.298491501201323e-07,4.448912645577881e-06,9.623814991390865e-08
-0.4,500,30,6.939309354160254e-07,6.831074706468243e-07,9.281398873859308e-07,1.2221829880185996e-06,63.41920567100545,243.23411327827395,244.07522906632687,61.95986652393731,2.403020658091459e-06,1.8294721299732976e-07,2.6467062532229333e-06,6.670970271988921e-08
-0.4,200,3,1.60958861587968e-06,1.6755387979505462e-06,2.5916509409015323e-06,1.0118117311164237e-06,244.65789261839257,64.08960694139319,62.31277302737779,205.86155959886398,9.276377838358483e-07,3.138554531024636e-08,5.410984887390984e-07,9.556793799948974e-09
-0.4,200,5,1.711228759297797e-06,1.7816836180931657e-06,2.386807874958346e-06,1.463588641988969e-06,21.737062963205,201.50523424675316,201.22948828606818,204.4785468821575,4.864562869874937e-07,1.0325542912499912e-07,1.6359195040822817e-06,4.366021031660984e-08
-0.4,200,7,1.8616888265058112e-06,1.9360521293810614e-06,2.573319591789596e-06,1.7586632536393405e-06,206.4472130212601,26.25189637973838,28.013327347539732,27.899470141826132,7.61349474848583e-07,3.1754243547985344e-07,1.8255058792743e-06,3.618121976959226e-08
-0.4,200,10,1.4031155518972187e-06,1.4515913560795897e-06,1.9392730865795097e-06,1.2750034901136373e-06,347.0197488194772,166.86769974414318,167.1218653193455,168.75974090810854,6.167682355002853e-07,8.896192242298588e-08,3.5285281883713066e-06,8.15205363484324e-08
-0.4,200,15,5.591731017795342e-06,5.718162487591394e-06,7.708908531019522e-06,2.879418674205977e-06,141.72222813881285,321.5999533966467,321.766247722373,325.30287696474704,1.2382547260336858e-06,1.0249135629435042e-07,1.0289784739064096e-05,1.668363975629022e-07
-0.4,200,20,4.25594678760481e-06,4.308225658167904e-06,5.825017988625343e-06,3.9398367751869257e-07,163.57958974821474,343.4581519739835,343.9088946920878,142.53500302628674,6.494580511177151e-07,2.701678584770642e-07,1.2462350340612486e-05,2.425591685403408e-07
-0.4,200,25,1.7841809286286169e-06,1.6841449138819293e-06,2.3012215458357062e-06,1.4683922239951666e-06,287.04356783198944,107.63354630472199,108.16307043269936,284.6626498807505,1.2757859287461879e-06,1.3417530072684315e-07,3.4736841406848604e-06,6.721379786011491e-08
-0.4,200,30,6.931630797121789e-07,6.82087168394541e-07,9.246373180858423e-07,1.2229169956795922e-06,287.47336195846896,107.31177021186835,108.16479190064877,286.15055673481453,2.1367975929292406e-06,1.5482497067254168e-07,1.7642100971026499e-06,6.683030472369189e-08
-0.25,500,3,1.590972743897531e-06,1.657550966345278e-06,2.656427408320726e-06,1.401158335447616e-06,244.3279654045929,64.11009462619587,60.83679993650776,216.7634187409828,2.241892043493394e-08,1.1707855898528992e-08,1.334880059952827e-07,1.2721958290874742e-08
-0.25,500,5,1.6896020258000492e-06,1.7574025473241452e-06,2.4366208548818144e-06,1.3256404774799444e-06,5.07429231676827,184.84642586508656,182.43565697458536,185.7904817742088,8.945347601203372e-08,3.969849740212361e-08,4.4750509079328325e-07,2.843549695797291e-08
-0.25,500,7,1.8386491413758168e-06,1.9109520706709238e-06,2.5472452811711872e-06,1.7509020229397921e-06,173.5304164369522,353.32004787321904,354.1135563163424,354.3788826752343,5.558261701800619e-07,1.7105061516863375e-07,6.856993999941711e-07,6.554718269696853e-09
-0.25,500,10,1.385770109995298e-06,1.433633011741745e-06,1.912427843100865e-06,1.29584421083466e-06,302.8160694275564,122.64481317276054,122.85606319450964,124.24376256231359,3.3369653655290564e-07,4.0053678963592535e-08,2.5368286184535114e-06,4.441338972710036e-08
-0.25,500,15,5.6039539289203544e-06,5.727357637830164e-06,7.7157887417551e-06,2.8710833429021225e-06,128.49861803551386,308.3848174939304,308.70362848171055,312.5566316366584,3.0135520288351926e-06,6.167790924096823e-07,1.4102491982694703e-05,2.4924097502163906e-07
-0.25,500,20,4.246313685367559e-06,4.303507734063439e-06,5.8234892703469985e-06,4.0445025952762814e-07,163.28381726145145,343.2145376948783,343.65081312625307,140.57823843144118,1.1561265458064942e-06,2.2716148529391095e-07,1.658083890229906e-05,3.124023506945811e-07
-0.25,500,25,1.7827524567696137e-06,1.6851648877097492e-06,2.299040277330611e-06,1.4703524720584534e-06,100.00414430253726,280.65075812721136,281.19731538264693,97.37072002963134,1.3541827417857576e-06,1.4834092817889052e-07,4.373686279940105e-06,9.023503308112849e-08
-0.25,500,30,6.904203877902199e-07,6.835053314531107e-07,9.255243455055355e-07,1.2220348905660669e-06,98.81100692174198,278.5943940277975,279.4996921468753,97.33050475080631,2.265610658328782e-06,1.4378890426829391e-07,2.4214224584911747e-06,6.643769228220975e-08
-0.25,200,3,1.6030903129227377e-06,1.6705295306614827e-06,2.723502050788126e-06,8.436552715553475e-07,275.177364764263,94.58757244904828,99.88240676057828,77.38117612119706,1.9252737090165731e-07,2.7034460391331267e-08,5.185143002482057e-07,3.3339477228050646e-08
-0.25,200,5,1.6993697339989722e-06,1.7724751035684578e-06,2.2952077833783802e-06,1.2641157944674125e-06,14.65685647083464,194.46684784377197,197.44637311219887,192.81629040580785,3.9957631858586756e-07,9.878350588044703e-08,1.6396524233281086e-06,4.6554041896955955e-08
-0.25,200,7,1.854004593876613e-06,1.9257436025011335e-06,2.561896385771031e-06,1.77819579259931e-06,104.61903351474885,284.3863480272259,283.8282412860603,282.6823438911521,4.854690429196191e-07,3.7471952708294887e-07,1.8794608570418275e-06,3.6591311482628166e-08
