Pressure [bar],Kp gain,Frequency [Hz],OBB front displacement [m],OBB rear displacement [m],Stand displacement [m],Stand arm displacement [m],OBB front phase [deg],OBB rear phase[deg],Stand phase [deg],Stand arm phase [deg],Piston amplitude [m],Tip amplitude [m],Tilt amplitude [m],Other modes amplitude [m]
-0.25,200,10,1.392989170605537e-06,1.4402175687977894e-06,1.910975524256329e-06,1.2945774433003931e-06,338.0821802408856,157.92364624707352,158.0046644575366,158.8860601157747,6.874590255769092e-07,5.033598526458794e-08,3.552316071637834e-06,7.145938846472047e-08
-0.25,200,15,5.547412069354485e-06,5.672865859599086e-06,7.651048839155735e-06,2.8592235214423093e-06,112.96046722944557,292.8166729226427,293.1166267030892,296.474676273472,1.4537990834281666e-06,9.204280479425535e-08,9.834682702798408e-06,1.8871655192882371e-07
-0.25,200,20,4.25743562484519e-06,4.315527422419408e-06,5.840470774410228e-06,3.94723193185174e-07,237.16728134803986,57.04867097798257,57.47950317018624,216.2281902929837,4.0543442615191135e-07,2.6951868370316835e-07,1.234929731302911e-05,2.585811897131538e-07
-0.25,200,25,1.7791488348628633e-06,1.6813604051732353e-06,2.295335535877918e-06,1.469938041351312e-06,341.4165197336213,162.0394090083412,162.6968543077588,339.0227668220525,4.7321111360131155e-07,1.11205196975284e-07,3.43059212082191e-06,9.375692168459698e-08
-0.25,200,30,6.898173665153505e-07,6.827805696969296e-07,9.250448827927764e-07,1.2192036671792374e-06,326.26953222306906,146.05224339092018,146.95026263247306,324.94184817946785,1.7079680706316003e-06,1.1517833453080246e-07,2.0183759310970853e-06,6.232172201127179e-08
-0.10200000000000001,500,3,1.5851475823198656e-06,1.6498789373235306e-06,2.364792290157545e-06,1.478195694207942e-06,243.5334909470109,63.3250781672602,82.75575142305603,273.35881811727654,6.555112161129484e-07,1.2290701024647666e-08,1.3777949329497639e-07,8.153268438114416e-09
-0.10200000000000001,500,5,1.6827513461665736e-06,1.7523638624221537e-06,2.3332524270489975e-06,1.5646311099935443e-06,18.658768015784513,198.36864390336487,199.1951327798405,197.96939197394045,2.8636736535613083e-07,2.568087686993973e-08,4.427921491925952e-07,1.0726501414623151e-08
-0.10200000000000001,500,7,1.8372772551517472e-06,1.9063361912075302e-06,2.5290738465743856e-06,1.772956081664289e-06,197.7384442717496,17.52403978653288,19.168645674196146,18.760821765675885,1.46847987268019e-07,1.475678592938413e-07,6.712502138394289e-07,2.840543121858604e-08
-0.10200000000000001,500,10,1.3823197850011619e-06,1.4282195131043836e-06,1.931021749410715e-06,1.29676055609897e-06,284.4921903724441,104.31843249412171,104.29594351285,105.642158329384,6.813970493115361e-07,5.574081679342523e-07,2.5893784729818814e-06,4.991792531601662e-08
-0.10200000000000001,500,15,5.522229653419486e-06,5.643420548236347e-06,7.603430294391285e-06,2.8654135740604316e-06,135.6976665622999,315.57388736429846,315.86656733823696,319.2621197496072,2.157023799969948e-06,7.245979550466727e-08,1.3092985159450151e-05,2.358112854599595e-07
-0.10200000000000001,500,20,4.262216356100167e-06,4.316857052851105e-06,5.840166233530399e-06,3.9256832609176945e-07,162.84501083441998,342.82561298614723,343.26215680416954,139.6800084523484,1.0161830310249859e-06,2.158277004115462e-07,1.553458591661185e-05,2.9783288867217947e-07
-0.10200000000000001,500,25,1.7720079558992334e-06,1.676920988407795e-06,2.2855556256783913e-06,1.466326124302275e-06,175.4867447373851,356.1206994287549,356.6561813904758,172.79261579239022,6.863508747478692e-07,1.3352522821181703e-07,4.066944138774989e-06,1.0724385052260978e-07
-0.10200000000000001,500,30,6.818428548163771e-07,6.829108417589459e-07,9.267158363239417e-07,1.21906641903549e-06,15.720393531796692,195.09289681784918,195.96843401688892,13.958442709017708,1.713303130481443e-06,1.569721326760754e-07,2.2985285538732954e-06,5.769481961944629e-08
-0.10200000000000001,200,3,1.5958239595237935e-06,1.6652263659829796e-06,2.9086692151241988e-06,6.959697580130667e-07,261.12891250504975,81.00369610164555,77.92599502473826,23.892612215191196,4.831378747295917e-07,6.98249587896751e-08,4.945716995222423e-07,1.643820399181327e-08
-0.10200000000000001,200,5,1.6948135754490641e-06,1.7630144720653923e-06,2.363447650103706e-06,1.379505942447385e-06,9.287484432312933,188.97416482236693,194.67865699576447,182.75688142850933,4.654356514421764e-07,1.088943555435068e-07,1.6593795241392084e-06,3.0820268647882604e-08
-0.10200000000000001,200,7,1.845454895742957e-06,1.9141335962687626e-06,2.649795620219604e-06,1.6864941391379748e-06,158.7829540448206,338.57595412962314,336.9862172557764,340.8273991484758,4.65358614399341e-07,3.681176900234706e-07,1.6734358853330068e-06,4.3834951440835944e-08
-0.10200000000000001,200,10,1.385497028518404e-06,1.431597272288506e-06,1.9314236025303173e-06,1.302504023278918e-06,323.2339254669602,143.0586207660838,142.88714676800595,143.7769018074554,5.553455640285011e-07,7.585653227285369e-08,3.4266121103673836e-06,6.063419532985214e-08
-0.10200000000000001,200,15,5.483859930061673e-06,5.608031319502044e-06,7.560427840344918e-06,2.8505276416349688e-06,180.09063483343144,359.93820467080474,0.2310920038230698,3.6487761769690716,1.2005010943084783e-06,5.851832208301474e-08,9.044220079533435e-06,1.7330209932112127e-07
-0.10200000000000001,200,20,4.272882981286144e-06,4.327326175577097e-06,5.855685287704971e-06,3.8819536580262054e-07,293.0624614062915,112.98566969004102,113.44110089090665,271.7947812632687,6.076016136427981e-07,2.196318097580464e-07,1.1137217485319506e-05,2.3786752832700086e-07
-0.10200000000000001,200,25,1.7709158329245436e-06,1.676853056454763e-06,2.2914221344925414e-06,1.4690540373759446e-06,202.90225651781492,23.542108503918737,24.056721894803115,200.45919500944547,5.802387672133135e-07,9.18505605405092e-08,3.2037561562950833e-06,7.704825356004099e-08
-0.10200000000000001,200,30,6.818998222223812e-07,6.827573179562524e-07,9.271969220698888e-07,1.21921386292827e-06,340.681166221077,160.08349945141364,160.9453058323149,338.9500003132752,1.8523000577285275e-06,1.1291844573577192e-07,1.6986270794696904e-06,4.158152953100018e-08
0.002,500,3,1.5909104846914142e-06,1.6471058536243107e-06,1.758410630681284e-06,1.0553030191936844e-06,270.18687116534966,89.75920316280981,83.60803763451173,331.50323457604065,5.081322210344291e-07,2.0858844371730674e-08,9.39570138918148e-08,1.091571658126586e-08
0.002,500,5,1.6844545056207697e-06,1.7483612129265577e-06,2.2620240765307625e-06,1.3650265540862106e-06,18.320664545683535,198.08626234077335,197.5318000717287,197.83066204025872,2.848710080040136e-07,1.8800120008340008e-07,4.3815957149491074e-07,1.0690834651384244e-08
0.002,500,7,1.836893990566375e-06,1.9032091902745991e-06,2.5141107941618313e-06,1.8004707652259548e-06,233.65613403899505,53.42744958389241,53.73862262421613,52.714783196791466,7.120835712344299e-07,1.0511302996150816e-07,7.361642331689808e-07,1.0992106048720692e-08
0.002,500,10,1.378930575974292e-06,1.4237756611158588e-06,1.9186108758732112e-06,1.3029465987064461e-06,280.3282072068973,100.14449342564453,100.01742679470516,101.48200456619944,5.680574984385909e-07,9.480907900072114e-08,2.6775089241788823e-06,4.883398294669423e-08
0.002,500,15,5.442677153617035e-06,5.561560071480475e-06,7.4722795606422526e-06,2.8486868659321933e-06,132.0500075015098,311.9147330600116,312.21665167972327,315.8087936824975,2.2783293274903267e-06,8.661375776195459e-08,1.2633415297167269e-05,2.3470497786464708e-07
0.002,500,20,4.262890982415635e-06,4.323520045981461e-06,5.872183800499996e-06,3.909096629087895e-07,204.24573629146298,24.215919315963948,24.268157063795627,181.03531292276438,1.454298176298036e-06,7.063371005935433e-07,1.481635277277732e-05,2.872437013383557e-07
0.002,500,25,1.7659475190024134e-06,1.672444264138471e-06,2.2790634040451966e-06,1.4595443971297855e-06,307.0440953073355,127.70344124099823,128.27355998861168,304.4925662484264,1.2707533753289179e-06,9.473647991699562e-08,3.954336561146445e-06,8.900204229274597e-08
0.002,500,30,6.775541945440837e-07,6.810282020468665e-07,9.226706957164876e-07,1.2158790351088225e-06,343.4884244027163,162.7625136683506,163.82352823711872,341.586860425197,1.878485050724383e-06,1.61849650189875e-07,1.985298448887292e-06,5.062888964154628e-08
0.002,200,3,1.5936412546551086e-06,1.6574210940420567e-06,2.752587521961588e-06,1.368331851565442e-06,262.0287244723406,82.00154433318535,80.16924719040448,295.2270766208865,4.719270633153048e-07,4.1574268195287216e-08,5.064585421525487e-07,1.4942312900509336e-08
0.002,200,5,1.6913136579542617e-06,1.756248106092793e-06,2.4533924653433607e-06,1.2770465361249325e-06,40.18383685314227,219.91083435325078,214.44322118829365,215.6548153160464,4.6740911252595546e-07,1.0821689519432401e-07,1.5878576498838713e-06,3.421369293529665e-08
0.002,200,7,1.8371683136344307e-06,1.9054908838949764e-06,2.783458256177359e-06,1.707059535888461e-06,195.39533538458127,15.173663016470476,17.371467633526752,15.473889486103236,8.028086765304554e-07,3.427330633989365e-07,1.6752496936444972e-06,3.093907101315786e-08
0.002,200,10,1.3791149527762795e-06,1.423800943381934e-06,1.9170151382504703e-06,1.2985106836704321e-06,301.1290222557278,120.93164725975744,120.87908747254193,121.9107907338563,6.042767304330136e-07,6.52178941379489e-08,3.321795009823572e-06,6.158957905544996e-08
0.002,200,15,5.420180362031965e-06,5.541382649317257e-06,7.478118150447181e-06,2.8385103062016213e-06,162.21638138573886,342.0544005600755,342.4299489460398,345.7113091250882,1.0964586300474595e-06,4.255167218121755e-08,8.717907107342125e-06,1.8124049281718638e-07
0.002,200,20,4.2744399745022995e-06,4.335818234684848e-06,5.875330819838687e-06,3.796853139929186e-07,251.0549004831268,70.96592116482516,71.33965572095288,229.08465111664927,7.328954816434484e-07,2.5069854004255963e-07,1.13497575362026e-05,2.2925662043064338e-07
0.002,200,25,1.765395651417845e-06,1.672316366803574e-06,2.285935142715418e-06,1.4600372756050776e-06,41.116582893856915,221.7468692608228,222.3463601757828,38.48405202245696,6.551652001582682e-07,1.3066874085304574e-07,2.7237090616227767e-06,7.246869075915496e-08
0.002,200,30,6.778126083504917e-07,6.812544643266294e-07,9.254620098946816e-07,1.2143053354400666e-06,241.0598531024231,60.396742408152704,61.23347752805227,239.3423575931047,1.923658680537739e-06,1.4271085738403844e-07,1.4324375380303768e-06,3.2698657007512144e-08
0.002,0,3,1.5906265499750585e-06,1.6481130879915786e-06,2.932739974469841e-06,8.374356409688582e-07,278.698792246293,98.40760501175845,101.60903111654405,24.299849107256154,1.4459388946960486e-07,5.676220782311197e-09,3.754674257010689e-08,1.2544810538050412e-08
0.002,0,5,1.687160536754134e-06,1.7553487539767597e-06,2.2397542309925137e-06,1.3683808658716126e-06,54.59989859294819,234.33696567704106,234.10627702702857,234.41399736624757,4.808641591435073e-07,2.4487703149032157e-08,9.40921463807848e-09,2.2948631607800718e-08
0.002,0,7,1.8358242681217114e-06,1.9045095349512055e-06,2.4760936112414803e-06,1.7752535116062568e-06,214.68927642270663,34.442086452131946,34.259693825533205,34.05957905211093,4.698224820458205e-07,2.335106996417307e-08,1.9031916682168477e-08,1.2743957491880871e-08
0.002,0,10,1.3797145068252718e-06,1.424646420805701e-06,1.926706122337669e-06,1.2851697965924239e-06,347.06827041918723,166.8713284145693,166.98688087903182,168.00734029048238,1.4559349668399207e-06,1.3449353451466513e-08,1.5455045547550565e-08,1.9345307936064985e-08
0.002,0,15,5.446370231074369e-06,5.565322318311285e-06,7.49959700255517e-06,2.845702164500953e-06,199.74142880662555,19.57423656275042,19.77821999472548,22.646654494848356,2.815385545050809e-06,2.4903227456117638e-08,1.6435582223164487e-08,2.815385545050809e-06
0.002,0,20,4.217213537093552e-06,4.267127095125579e-06,5.782726295454189e-06,3.9451079259279544e-07,243.66648482179295,63.54482511244087,63.95929437078382,224.7576523864963,4.556384936015067e-06,2.4683423545902133e-08,6.39305146681012e-08,4.556384936015067e-06
0.002,0,25,1.7532930061172618e-06,1.6604138201937086e-06,2.2693909249443608e-06,1.46505333242039e-06,189.24197334389072,9.811296717340367,10.365071882332199,187.03541728640187,6.710562762734018e-06,3.1502767498790845e-08,5.903915447672985e-08,6.710562762734018e-06
0.002,0,30,6.744052351547742e-07,6.775859249184734e-07,9.174370901614086e-07,1.2191334812445792e-06,36.168823715983486,215.42451645856966,216.22920460748225,34.59326352408592,8.135601352674267e-06,5.6791783499641174e-08,5.8852514456401404e-08,8.135601352674267e-06
-0.25,0,3,1.7588017887238678e-07,1.7528115137567564e-07,6.902037343304805e-07,2.373647494437001e-06,2.207720675868805,181.6575806455206,218.98504200347026,114.35204338192884,1.0906079701251919e-07,6.1444097117737565e-09,1.1677008218848685e-08,8.466297525047309e-09
-0.25,0,5,4.5606913934476593e-08,4.62236342412026e-08,1.7819810263416893e-07,1.801398782005927e-07,9.331878176159375,194.053317446618,241.75045272944834,158.76818959109497,7.489600830786129e-08,2.173939679813813e-08,5.819389557045129e-09,2.006220578360497e-08
-0.25,0,7,1.5812969084193203e-08,1.7074238737105787e-08,1.2421124930810432e-07,1.436109612862676e-07,153.21267765728712,334.27978483739423,331.5031680564529,133.6406916585897,5.391238995421865e-07,1.1877227398689965e-08,2.9410203017835283e-08,2.5263647014210014e-08
-0.25,0,10,1.6393965075458115e-08,1.7144979759478042e-08,5.595224448953918e-08,5.804553627964745e-08,10.10736558371712,189.26516528963577,249.50884637448,36.64756987049379,7.521336899864643e-07,2.0929475721090627e-08,1.0170948557165283e-08,9.217764141681857e-09
-0.25,0,15,4.609562890612698e-09,4.578384592199529e-09,2.4234813630797716e-08,2.8142058550400103e-08,81.02864383822534,261.1030944197554,301.9057236357346,8.997672558953727,6.541095754287337e-07,1.3925255496112458e-09,1.2230483661211312e-08,6.541095754287337e-07
-0.25,0,20,6.018506527934738e-09,8.07020964168577e-09,1.3127071346849806e-08,2.158674822353317e-08,1.2656515907140062,156.82007585991286,211.9459507721227,358.56454207697516,1.5211163979478532e-06,2.5984682970736447e-08,2.2538074131347646e-08,1.3080346555012024e-08
-0.25,0,25,8.108331685292347e-09,7.882264738210497e-09,1.1678102248007465e-08,1.7480418744063707e-08,203.1210428699169,22.156533441957265,69.91308503702736,175.11258223029353,8.806401921287525e-06,5.2159890284675475e-08,7.751994188669652e-08,8.806401921287525e-06
-0.25,0,30,6.943379816745321e-07,6.836219823933787e-07,9.266761680177777e-07,1.2362608825329926e-06,318.3264604447919,138.08360230151533,138.88036341470848,317.203487344867,7.846743173804608e-06,5.2822220918359016e-08,5.961607010291534e-08,7.846743173804608e-06
-0.55,0,3,1.528639924696012e-07,1.5328006253999387e-07,9.973491237573279e-07,9.989570176997476e-07,358.6405119425753,175.25493394719473,91.65858798864228,290.76283571819334,2.3187126570054263e-07,1.2295467218229898e-08,1.754929571941232e-08,1.3392191442645956e-08
-0.55,0,5,3.9947242898401265e-08,3.76843956068287e-08,2.3696255086841662e-07,2.3599562106561262e-07,166.7871991429392,346.0298019503088,109.4795098348257,97.0824292084384,3.6699799546952e-07,1.1348700350042639e-08,2.4608438980822557e-08,1.268633295098892e-08
-0.55,0,7,1.6770747214224344e-08,1.436289609345701e-08,1.2003009059891003e-07,1.7377888224281637e-07,332.0458678624686,155.62767081117445,294.3170501671616,152.8723901436282,1.3394478850589487e-07,1.8545522644292252e-08,3.550096560648172e-08,1.3776862185792515e-08
-0.55,0,10,1.578343872256891e-08,1.3208575459138503e-08,9.193879857151892e-08,7.81746958270835e-08,194.00897046879416,15.100310992473078,310.27092019001407,160.23852420755733,3.683412697723397e-07,4.145687571615717e-08,2.3119889953015647e-08,2.5477448813931615e-08
-0.55,0,15,5.079322243247217e-09,5.07464442001179e-09,2.0538516227381876e-08,1.8819255966545345e-08,115.54840950153579,300.2778829141502,127.81993402102736,335.6098143427558,6.267320043411909e-07,2.1887603928224294e-08,1.835861512228077e-08,4.6717205957025526e-08
-0.55,0,20,8.11384733166256e-09,5.405128117257619e-09,1.510994301740784e-08,1.645214103677712e-08,232.35543235143547,122.09199191524934,89.04746338550737,268.09862257176746,1.561630056971352e-06,1.074397563084599e-08,1.956616805162496e-08,2.277092508837269e-08
-0.55,0,25,7.403976713741782e-09,7.381994067962512e-09,1.2194529475965976e-08,1.4237973089158542e-08,44.63401843761854,230.2791065144505,198.83397509395465,61.568169019694366,8.304514141791592e-06,3.813912551757497e-08,4.761186686413971e-08,8.304514141791592e-06
-0.55,0,30,6.902066010478106e-07,6.740278628338683e-07,9.162941978223448e-07,1.2330324634005363e-06,123.36399390094866,303.14214170246265,303.9348580578809,122.18978200041276,8.775696446020745e-06,4.4482013089027466e-08,6.162277318351945e-08,8.775696446020745e-06
