Pressure [bar],Kp gain,Frequency [Hz],OBB front displacement [m],OBB rear displacement [m],Stand displacement [m],Stand arm displacement [m],OBB front phase wrt stand arm [deg],OBB rear phase wrt stand arm [deg],Stand phase wrt stand arm [deg],Stand arm phase [deg],Piston amplitude [m],Tip amplitude [m],Tilt amplitude [m],Other modes amplitude [m]
-0.55,500,3,1.620890525998389e-06,1.6957013240759467e-06,2.418629914993779e-06,1.1665230672359797e-06,28.355865571178917,28.29500545374679,26.99516689456088,36.28416651629801,9.039538573896922e-07,1.0307179679406841e-08,1.1354752191948273e-07,1.9680615357634065e-08
-0.55,500,5,1.7265525950060796e-06,1.7978457979916024e-06,2.4238879507802333e-06,1.3566227819978152e-06,0.6877733810827351,0.5151698172520582,1.9103484261285928,175.70752494838968,4.107159582709906e-07,5.601198176650963e-08,4.6236832848420136e-07,2.0777230539140324e-08
-0.55,500,7,1.8804615222927412e-06,1.9550399416201326e-06,2.507753677971822e-06,1.788273154749073e-06,-2.2842524180098707,-2.442596297445135,-1.8189906418223956,112.26495034348271,2.2647819988755763e-07,1.2163992214365822e-07,7.438911352324376e-07,3.7676076477725435e-08
-0.55,500,10,1.4160105089364058e-06,1.4648152633409919e-06,1.8988976247895522e-06,1.3076107319027233e-06,-0.8582760264294791,-1.013116171227935,-0.7204549792318744,81.35134182019922,4.072218548359404e-07,4.382671041438778e-08,2.4301912434441224e-06,3.0876126911210223e-08
-0.55,500,15,5.741296273614485e-06,5.864926887252458e-06,7.89514689120054e-06,2.9092171370273183e-06,-3.6861275789292876,-3.7894387309440845,-3.5555950791422646,99.27490049774926,1.9396718244479446e-06,8.873339933280338e-08,1.4355992261153349e-05,2.791775886041031e-07
-0.55,500,20,4.174262135143045e-06,4.22691179753669e-06,5.714324476293997e-06,4.1723593502714806e-07,23.85666644617183,23.7906262702649,24.223812517296395,26.28324679526171,1.703699397095028e-06,2.7478020587607435e-07,1.9947123872332707e-05,3.740210172461887e-07
-0.55,500,25,1.7825284957052803e-06,1.6800262087765683e-06,2.2958561459032907e-06,1.471127470376267e-06,2.8438964535955478,3.4791011100007694,4.114918969953365,98.10341310390271,6.931136610283168e-07,1.164065884712609e-07,4.6152698309872615e-06,8.114927682734503e-08
-0.55,500,30,6.950834042759483e-07,6.810375082508955e-07,9.244592821436199e-07,1.2211690557416279e-06,1.3789435807377934,1.2133943057837229,2.023377249296505,23.615296652693363,2.2953838816444654e-06,1.818966569295188e-07,2.7163356438402516e-06,7.710977286103472e-08
-0.55,400,3,1.6169342366943216e-06,1.6858078332944553e-06,2.2175935214341127e-06,1.0920862631924778e-06,42.493084672396826,42.02156088931459,31.223856717867598,19.881696957241388,4.7189161179424924e-07,2.2556116500273196e-09,1.5303637362613416e-07,1.7544265887276965e-08
-0.55,400,5,1.7201228940602409e-06,1.7915420911737515e-06,2.207320258500479e-06,1.2005392887515056e-06,6.61590339460523,6.419918592959402,4.765358676529424,17.10039877640518,9.218853686636482e-07,2.80872717907099e-08,6.128762719994246e-07,4.145104507675634e-09
-0.55,400,7,1.8719959997905352e-06,1.9473584475451474e-06,2.5884964051090223e-06,1.7985156576062032e-06,-2.550707900145511,-2.71349525779857,-1.044200001687642,160.96365071091398,5.084638426716445e-07,2.015170567255511e-07,8.752796730955676e-07,2.8438442755188104e-08
-0.55,400,10,1.4151578417514142e-06,1.464672981296335e-06,1.9750105641919613e-06,1.2971144646178538e-06,-1.3826548280331394,-1.527662870473705,-1.6870594202167837,92.93161756625909,6.864490170869851e-07,6.594179189230586e-08,3.0389774709777126e-06,5.337030545475612e-08
-0.55,400,15,5.7291617699927385e-06,5.855369667583756e-06,7.87910965845515e-06,2.8996506122985185e-06,-4.133344535723239,-4.230524148200459,-4.065927996786797,76.02669161140192,2.269811327469798e-06,7.813947036707076e-08,1.4360543549465531e-05,2.668073190622718e-07
-0.55,400,20,4.181931033785003e-06,4.236344301349361e-06,5.723878910204247e-06,4.0984836048381375e-07,22.74275102431993,22.651776770196335,23.103416777494118,103.35250466234758,1.1270499109367845e-06,2.546080642385428e-07,1.670544021039126e-05,3.3404748780984015e-07
-0.55,400,25,1.7812810249525607e-06,1.678631041986647e-06,2.2889221398103015e-06,1.4696726222136476e-06,2.677878328516499,3.2983893864978597,3.744951717019916,171.33055794295765,8.939284556979993e-07,1.3491915274844574e-07,4.563907591700446e-06,9.061661189058831e-08
-0.55,400,30,6.948906199323382e-07,6.807376604117628e-07,9.229364293293702e-07,1.219861628404828e-06,1.3710547124283892,1.2130726338020281,2.0510518193394773,166.1691528734116,2.8032182080219243e-06,1.4790701631100435e-07,2.4334079527989913e-06,8.895666121901431e-08
-0.55,300,3,1.6191260670024302e-06,1.6905438944217525e-06,2.7865437862042524e-06,7.372287364891588e-07,33.77146386509011,33.46999532167544,18.105725317560427,44.58169329076546,5.342545361024949e-07,1.067247672830282e-08,2.390139608297621e-07,1.543685587654354e-08
-0.55,300,5,1.7207437633130739e-06,1.7935136340354214e-06,2.3582430565591993e-06,1.4560991147505816e-06,4.856503105768951,4.7230930977171965,3.527703299292824,164.26093364142017,2.860910118927303e-07,3.0618365518720936e-08,9.543490346932432e-07,2.5013628289675992e-08
-0.55,300,7,1.8730475316402098e-06,1.9492281707329218e-06,2.548465865428775e-06,1.8403497389593834e-06,-1.1452085222165316,-1.2982346805564902,-1.5985946510871685,18.549452643227553,2.2255265974270496e-07,2.8992396370643164e-07,1.2772465218973076e-06,1.997739985779275e-08
-0.55,300,10,1.41553604118893e-06,1.4648439972201572e-06,1.9759282185614343e-06,1.289586451610946e-06,-1.6752337184606176,-1.816238280283244,-2.023155623329302,143.6392811512646,5.39027264058649e-07,1.0553448142591087e-07,3.7330311385932028e-06,7.976252793685954e-08
-0.55,300,15,5.7116500957945125e-06,5.838561951792375e-06,7.848512019199163e-06,2.905084100753859e-06,-4.122561902680673,-4.224210506417663,-3.9878544696580036,54.425575584006744,2.1028244759506115e-06,1.609450617917334e-07,1.3557844150396566e-05,2.3679933253895236e-07
-0.55,300,20,4.189604023176613e-06,4.240313615879588e-06,5.731555652167366e-06,4.0424473583055535e-07,20.751743092979837,20.62058040487289,21.063667409024895,24.904153487268992,1.0798943617013854e-06,3.127624103729037e-07,1.508133203749003e-05,2.815315162372108e-07
-0.55,300,25,1.7809705557568792e-06,1.6784757508363214e-06,2.28939525102869e-06,1.4683019942378613e-06,2.559378978317909,3.1600683854763574,3.7863301755360794,30.46145330794716,1.1800061898850777e-06,1.4260518191657638e-07,4.038927220712691e-06,9.232357586724262e-08
-0.55,300,30,6.945906534681132e-07,6.803797299672459e-07,9.227844951625768e-07,1.2226525721605223e-06,1.397525082643611,1.2365814257301366,2.184336165232466,86.23535444842608,1.8261853215499548e-06,1.493915932114572e-07,2.0080747809832107e-06,4.8811377518530254e-08
-0.55,200,3,1.6185493816297507e-06,1.6871440588638013e-06,2.4860775017884384e-06,1.115546653008492e-06,5.413980874636863,5.063442106140613,23.9706368476388,93.6184253422972,1.5628033232081823e-06,2.356253018309822e-08,4.930896418649375e-07,1.6743543796554797e-08
-0.55,200,5,1.7185420797895353e-06,1.7928126343640292e-06,2.4993727324875635e-06,1.2736350309944717e-06,2.251548738602146,2.057523859662151,-0.1573259014258106,24.88197115128597,4.807442046073798e-07,6.787513603457385e-08,1.6053138951498308e-06,3.625024252743787e-08
-0.55,200,7,1.8716181018867208e-06,1.9474744550678403e-06,2.5575562308246443e-06,1.7757422148414953e-06,-2.2398446583071916,-2.375455734777546,-3.151133740202681,153.65441972956353,3.929449148465108e-07,2.702992113930437e-07,1.7297329344154427e-06,2.5743315238481063e-08
-0.55,200,10,1.4129203313802894e-06,1.4627257205393716e-06,1.95541692690463e-06,1.2902368810423004e-06,-1.437775847316317,-1.5726043131609515,-1.7635231559596747,104.95205897241611,5.124222344487257e-07,9.852229701331538e-08,3.6840202137008183e-06,7.276314872459868e-08
-0.55,200,15,5.699260886321503e-06,5.825841813480345e-06,7.852235184520075e-06,2.884697583389087e-06,-3.4807738202483876,-3.6000556727478994,-3.3509889649725295,118.0640406243966,1.6600467727785574e-06,1.0558650102393749e-07,1.1060839507388669e-05,2.2652730059303588e-07
-0.55,200,20,4.191283633416144e-06,4.243837319584033e-06,5.738154596113964e-06,4.084856214952409e-07,20.770367419668574,20.651521493707435,21.080205804890767,102.26457668892647,9.052259637417364e-07,2.855320721897462e-07,1.3116815110502714e-05,2.6012213958047073e-07
-0.55,200,25,1.7809419696448704e-06,1.6783029628134924e-06,2.2914427520161367e-06,1.4717031440664269e-06,2.543791083392094,3.1427141974512622,3.651210807184306,28.915992164949067,7.38641394532796e-07,1.1857774328873423e-07,3.386456873498247e-06,8.007899749804788e-08
-0.55,200,30,6.944196869012363e-07,6.801363219189727e-07,9.210172001050728e-07,1.2229426815459656e-06,1.340535336706381,1.1927802347124157,2.0558908471308825,128.97455703697452,1.951513906084834e-06,1.4534131701603295e-07,2.0367775710710468e-06,6.295273476510905e-08
-0.4,500,3,1.6062714192381346e-06,1.6730113591813213e-06,2.748778846488925e-06,9.838757812833803e-07,-22.73872639774953,-22.743539369213707,-15.375064489546617,116.15040362617158,7.062795782149203e-07,2.6017955863873994e-08,1.0302938618879008e-07,1.1669556406221671e-08
-0.4,500,5,1.7028064039023527e-06,1.7757724840941119e-06,2.3330491465967247e-06,1.3761920828388042e-06,4.060875819263959,3.787962195262928,4.792007470654109,18.767528101620453,3.8125558426646903e-07,3.952224550932574e-08,4.6187751840257904e-07,1.4785544209706572e-08
-0.4,500,7,1.856506202907259e-06,1.9293950082857608e-06,2.52986405312826e-06,1.7216140682641226e-06,-1.1525882797218046,-1.325559544246147,-1.461892815144786,34.12725769912435,1.46806119408723e-07,1.0041421154512351e-07,7.291736732710039e-07,1.0492915373692443e-08
-0.4,500,10,1.4000125660947578e-06,1.4475845029122583e-06,1.96602745456387e-06,1.286891337311435e-06,-1.5010011269463917,-1.6481087525789633,-1.9278949023376128,165.9625246737742,7.595451862132493e-07,5.083436935238479e-07,2.1106557451749054e-06,4.1651900962081365e-08
-0.4,500,15,5.637923414661219e-06,5.761212573226534e-06,7.752956681646452e-06,2.882419313567624e-06,-3.7479765832917025,-3.8492702488279065,-3.519174840705574,92.57633433565432,2.0961272055072686e-06,7.436293135252666e-08,1.4049556745144247e-05,2.8063436448559054e-07
-0.4,500,20,4.2443873094961995e-06,4.2968426863726955e-06,5.811712600112649e-06,4.026900148756649e-07,23.333968975963373,23.291301547302666,23.75640179862738,22.015971610504188,1.520011433443199e-06,2.7959893178332445e-07,1.7913126276368725e-05,3.576895513605656e-07
-0.4,500,25,1.7871231708184386e-06,1.687690065769876e-06,2.308524106522989e-06,1.4736481031228342e-06,2.6761769261593713,3.3031548833769904,3.8965866739560937,102.82254550140665,6.985290146558148e-07,1.298491501201323e-07,4.448912645577881e-06,9.623814991390865e-08
-0.4,500,30,6.939309354160254e-07,6.831074706468243e-07,9.281398873859308e-07,1.2221829880185996e-06,1.4593391470681425,1.2742467543366374,2.115362542389576,61.95986652393731,2.403020658091459e-06,1.8294721299732976e-07,2.6467062532229333e-06,6.670970271988921e-08
-0.4,200,3,1.60958861587968e-06,1.6755387979505462e-06,2.5916509409015323e-06,1.0118117311164237e-06,38.79633301952859,38.22804734252921,36.45121342851381,25.861559598863973,9.276377838358483e-07,3.138554531024636e-08,5.410984887390984e-07,9.556793799948974e-09
-0.4,200,5,1.711228759297797e-06,1.7816836180931657e-06,2.386807874958346e-06,1.463588641988969e-06,-2.7414839189525075,-2.9733126354043264,-3.2490585960893235,24.478546882157506,4.864562869874937e-07,1.0325542912499912e-07,1.6359195040822817e-06,4.366021031660984e-08
-0.4,200,7,1.8616888265058112e-06,1.9360521293810614e-06,2.573319591789596e-06,1.7586632536393405e-06,-1.4522571205660242,-1.6475737620877524,0.11385720571360025,27.899470141826132,7.61349474848583e-07,3.1754243547985344e-07,1.8255058792743e-06,3.618121976959226e-08
-0.4,200,10,1.4031155518972187e-06,1.4515913560795897e-06,1.9392730865795097e-06,1.2750034901136373e-06,-1.7399920886313396,-1.8920411639653594,-1.6378755887630518,168.75974090810854,6.167682355002853e-07,8.896192242298588e-08,3.5285281883713066e-06,8.15205363484324e-08
-0.4,200,15,5.591731017795342e-06,5.718162487591394e-06,7.708908531019522e-06,2.879418674205977e-06,-3.580648825934219,-3.702923568100431,-3.53662924237409,145.30287696474707,1.2382547260336858e-06,1.0249135629435042e-07,1.0289784739064096e-05,1.668363975629022e-07
-0.4,200,20,4.25594678760481e-06,4.308225658167904e-06,5.825017988625343e-06,3.9398367751869257e-07,21.044586721928,20.923148947696717,21.373891665801068,142.53500302628674,6.494580511177151e-07,2.701678584770642e-07,1.2462350340612486e-05,2.425591685403408e-07
-0.4,200,25,1.7841809286286169e-06,1.6841449138819293e-06,2.3012215458357062e-06,1.4683922239951666e-06,2.3809179512388994,2.9708964239714675,3.500420551948835,104.66264988075052,1.2757859287461879e-06,1.3417530072684315e-07,3.4736841406848604e-06,6.721379786011491e-08
-0.4,200,30,6.931630797121789e-07,6.82087168394541e-07,9.246373180858423e-07,1.2229169956795922e-06,1.322805223654413,1.1612134770538205,2.0142351658342363,106.15055673481453,2.1367975929292406e-06,1.5482497067254168e-07,1.7642100971026499e-06,6.683030472369189e-08
-0.25,500,3,1.590972743897531e-06,1.657550966345278e-06,2.656427408320726e-06,1.401158335447616e-06,27.564546663610116,27.346675885213088,24.073381195524973,36.763418740982786,2.241892043493394e-08,1.1707855898528992e-08,1.334880059952827e-07,1.2721958290874742e-08
-0.25,500,5,1.6896020258000492e-06,1.7574025473241452e-06,2.4366208548818144e-06,1.3256404774799444e-06,-0.7161894574405343,-0.9440559091222411,-3.354824799623443,5.790481774208804,8.945347601203372e-08,3.969849740212361e-08,4.4750509079328325e-07,2.843549695797291e-08
-0.25,500,7,1.8386491413758168e-06,1.9109520706709238e-06,2.5472452811711872e-06,1.7509020229397921e-06,-0.8484662382821284,-1.0588348020153262,-0.26532635889199696,174.37888267523434,5.558261701800619e-07,1.7105061516863375e-07,6.856993999941711e-07,6.554718269696853e-09
-0.25,500,10,1.385770109995298e-06,1.433633011741745e-06,1.912427843100865e-06,1.29584421083466e-06,-1.4276931347571349,-1.5989493895530558,-1.3876993678039469,124.24376256231359,3.3369653655290564e-07,4.0053678963592535e-08,2.5368286184535114e-06,4.441338972710036e-08
-0.25,500,15,5.6039539289203544e-06,5.727357637830164e-06,7.7157887417551e-06,2.8710833429021225e-06,-4.058013601144523,-4.171814142727953,-3.8530031549477997,132.55663163665838,3.0135520288351926e-06,6.167790924096823e-07,1.4102491982694703e-05,2.4924097502163906e-07
-0.25,500,20,4.246313685367559e-06,4.303507734063439e-06,5.8234892703469985e-06,4.0445025952762814e-07,22.705578830010268,22.63629926343711,23.072574694811834,140.57823843144118,1.1561265458064942e-06,2.2716148529391095e-07,1.658083890229906e-05,3.124023506945811e-07
-0.25,500,25,1.7827524567696137e-06,1.6851648877097492e-06,2.299040277330611e-06,1.4703524720584534e-06,2.6334242729059127,3.2800380975799897,3.826595353015591,97.37072002963134,1.3541827417857576e-06,1.4834092817889052e-07,4.373686279940105e-06,9.023503308112849e-08
-0.25,500,30,6.904203877902199e-07,6.835053314531107e-07,9.255243455055355e-07,1.2220348905660669e-06,1.4805021709356652,1.2638892769911791,2.169187396068992,97.33050475080631,2.265610658328782e-06,1.4378890426829391e-07,2.4214224584911747e-06,6.643769228220975e-08
-0.25,200,3,1.6030903129227377e-06,1.6705295306614827e-06,2.723502050788126e-06,8.436552715553475e-07,17.796188643065932,17.206396327851223,22.50123063938122,77.38117612119706,1.9252737090165731e-07,2.7034460391331267e-08,5.185143002482057e-07,3.3339477228050646e-08
-0.25,200,5,1.6993697339989722e-06,1.7724751035684578e-06,2.2952077833783802e-06,1.2641157944674125e-06,1.840566065026799,1.6505574379641228,4.630082706391054,12.816290405807841,3.9957631858586756e-07,9.878350588044703e-08,1.6396524233281086e-06,4.6554041896955955e-08
-0.25,200,7,1.854004593876613e-06,1.9257436025011335e-06,2.561896385771031e-06,1.77819579259931e-06,1.9366896235967772,1.7040041360738343,1.145897394908232,102.68234389115207,4.854690429196191e-07,3.7471952708294887e-07,1.8794608570418275e-06,3.6591311482628166e-08
